-497.91;41.90;491.01;491.99;783.20;-989.32;74.80;-507.13;855.89;570.30
-948.91;634.14;116.31;53.13;860.96;277.32;425.70;36.71;288.43;-479.90
-859.07;-498.15;235.88;-878.41;586.78;667.10;-529.34;-488.88;281.23;-439.01
-842.16;440.29;228.19;-604.42;990.60;-157.20;588.49;802.97;729.91;463.61
42.15;-2.59;-32.07;-179.91;155.37;926.45;-73.89;57.71;62.78;471.72
100.68;-737.05;779.84;764.15;-431.26;795.28;-544.66;-325.85;-233.13;201.57
879.21;-459.40;554.55;275.25;555.28;-799.92;375.90;-178.38;654.29;-619.92
331.03;693.78;-842.83;517.20;970.34;659.60;-496.69;-935.79;-376.51;664.11
-945.92;-652.03;-922.85;48.13;-313.76;-960.02;-588.55;287.09;826.29;-696.65
-190.04;811.40;238.56;-322.43;154.94;-528.55;880.37;764.58;-780.39;-789.85


